Country,Supercontinent,Continent,UN_Region,Area_km2,Pop_2016,HDI_2017,Code
Kazakhstan,Eurasia,Asia,Central Asia,24,17794055,0.8,KAZ
Kyrgystan,Eurasia,Asia,Central Asia,0,6079500,0.655,KGZ
Tajikistan,Eurasia,Asia,Central Asia,0,8734951,0.65,TJK
Turkmenistan,Eurasia,Asia,Central Asia,0,5662544,0.706,TKM
Uzbekistan,Eurasia,Asia,Central Asia,0,31847900,0.71,UZB
Brunei,Eurasia,Asia,Southeast Asia,0,423196,0.853,BRN
Cambodia,Eurasia,Asia,Southeast Asia,0,15762370,0.582,KHM
East Timor,Eurasia,Asia,Southeast Asia,0,1268671,0.625,TLS
Indonesia,Eurasia,Asia,Southeast Asia,0,261115456,0.694,IDN
Laos,Eurasia,Asia,Southeast Asia,0,6758353,0.601,LAO
Malaysia,Eurasia,Asia,Southeast Asia,0,31187265,0.802,MYS
Myanmar,Eurasia,Asia,Southeast Asia,0,52885223,0.578,MMR
Philippines,Eurasia,Asia,Southeast Asia,0,103320222,0.699,PHL
Singapore,Eurasia,Asia,Southeast Asia,0,5607283,0.932,SGP
Thailand,Eurasia,Asia,Southeast Asia,0,68863514,0.755,THA
Vietnam,Eurasia,Asia,Southeast Asia,17,94569072,0.694,VNM
Turkey,Eurasia,Asia,Western Asia,50,79512426,0.791,TUR
Bahrain,Eurasia,Asia,Western Asia,0,1425171,0.846,BHR
Kuwait,Eurasia,Asia,Western Asia,0,4052584,0.803,KWT
Oman,Eurasia,Asia,Western Asia,0,4424762,0.821,OMN
Qatar,Eurasia,Asia,Western Asia,0,2569804,0.856,QAT
Saudi Arabia,Eurasia,Asia,Western Asia,0,32275687,0.853,SAU
United Arab Emirates,Eurasia,Asia,Western Asia,0,9269612,0.863,ARE
Yemen,Eurasia,Asia,Western Asia,0,27584213,0.452,YEM
Armenia,Eurasia,Asia,Western Asia,0,2924816,0.755,ARM
Azerbaijan,Eurasia,Asia,Western Asia,0,9757812,0.757,AZE
Georgia,Eurasia,Asia,Western Asia,0,3719300,0.78,GEO
Iraq,Eurasia,Asia,Western Asia,0,37202572,0.685,IRQ
Israel,Eurasia,Asia,Western Asia,45,8546000,0.903,ISR
Jordan,Eurasia,Asia,Western Asia,0,9455802,0.735,JOR
Lebanon,Eurasia,Asia,Western Asia,0,6006668,0.757,LBN
Palestine,Eurasia,Asia,Western Asia,0,4790705,0.686,PSE
Syria,Eurasia,Asia,Western Asia,0,18430453,0.536,SYR
Iran,Eurasia,Asia,Western Asia,0,80277428,0.798,IRN
Cyprus,Eurasia,Asia,Western Asia,0,1170125,0.869,CYP
China,Eurasia,Asia,Eastern Asia,0,1378665000,0.752,CHN
Hong Kong,Eurasia,Asia,Eastern Asia,0,7336600,0.933,HKG
Macau,Eurasia,Asia,Eastern Asia,0,612167,0.909,MAC
Japan,Eurasia,Asia,Eastern Asia,0,126994511,0.909,JPN
North Korea,Eurasia,Asia,Eastern Asia,0,25368620,0.733,PRK
South Korea,Eurasia,Asia,Eastern Asia,0,51245707,0.903,KOR
Mongolia,Eurasia,Asia,Eastern Asia,0,3027398,0.741,MNG
Taiwan,Eurasia,Asia,Eastern Asia,0,23540000,0.885,TWN
Afghanistan,Eurasia,Asia,Southern Asia,0,34656032,0.498,AFG
Bangladesh,Eurasia,Asia,Southern Asia,0,162951560,0.608,BGD
Bhutan,Eurasia,Asia,Southern Asia,0,797765,0.612,BTN
India,Eurasia,Asia,Southern Asia,0,1324171354,0.64,IND
Maldives,Eurasia,Asia,Southern Asia,0,427756,0.717,MDV
Nepal,Eurasia,Asia,Southern Asia,0,28982771,0.574,NPL
Pakistan,Eurasia,Asia,Southern Asia,0,193203476,0.562,PAK
Sri Lanka,Eurasia,Asia,Southern Asia,0,21203000,0.77,LKA
Argentina,Americas,South America,South America,0,43847430,0.825,ARG
Bolivia,Americas,South America,South America,0,10887882,0.693,BOL
Brazil,Americas,South America,South America,0,207652865,0.759,BRA
Chile,Americas,South America,South America,0,17909754,0.843,CHL
Colombia,Americas,South America,South America,0,48653419,0.747,COL
Ecuador,Americas,South America,South America,0,16385068,0.752,ECU
French Guyana,Americas,South America,South America,0,266812,0.781,GUF
Guyana,Americas,South America,South America,0,773303,0.654,GUY
Paraguay,Americas,South America,South America,0,6725308,0.702,PRY
Peru,Americas,South America,South America,0,31773839,0.75,PER
Suriname,Americas,South America,South America,0,558368,0.72,SUR
Uruguay,Americas,South America,South America,0,3444006,0.804,URY
Venezuela,Americas,South America,South America,0,31568179,0.761,VEN
Bermuda,Americas,North America,Northern America,0,65341,0.981,BMU
Canada,Americas,North America,Northern America,1017,36264604,0.926,CAN
Greenland,Americas,North America,Northern America,0,56186,0.839,GRL
USA,Americas,North America,Northern America,2762,323405935,0.924,USA
Mexico,Americas,North America,Central America,0,127540423,0.774,MEX
Belize,Americas,North America,Central America,0,366954,0.708,BLZ
Costa Rica,Americas,North America,Central America,0,4857274,0.794,CRI
El Salvador,Americas,North America,Central America,0,6344722,0.674,SLV
Guatemala,Americas,North America,Central America,0,16582469,0.65,GTM
Honduras,Americas,North America,Central America,0,9112867,0.617,HND
Nicaragua,Americas,North America,Central America,0,6149928,0.658,NIC
Panama,Americas,North America,Central America,0,4034119,0.789,PAN
Antigua and Barbuda,Americas,North America,Caribbean,0,100963,0.78,ATG
Aruba,Americas,North America,Caribbean,0,104822,0.908,ABW
Bahamas,Americas,North America,Caribbean,0,391232,0.807,BHS
Barbados,Americas,North America,Caribbean,0,284996,0.8,BRB
British Virgin Islands,Americas,North America,Caribbean,0,30661,0.945,VGB
US Virgin Islands,Americas,North America,Caribbean,0,107510,0.894,VIR
Cayman Islands,Americas,North America,Caribbean,0,60765,0.983,CYM
Cuba,Americas,North America,Caribbean,0,11475982,0.777,CUB
Curacao,Americas,North America,Caribbean,0,159663,0.811,CUW
Dominica,Americas,North America,Caribbean,0,73543,0.715,DMA
Dominican Republic,Americas,North America,Caribbean,0,10648791,0.736,DOM
Grenada,Americas,North America,Caribbean,0,107317,0.772,GRD
Haiti,Americas,North America,Caribbean,0,10847334,0.498,HTI
Jamaica,Americas,North America,Caribbean,0,2881355,0.732,JAM
Puerto Rico,Americas,North America,Caribbean,0,3406520,0.845,PRI
Saint Kitts and Nevis,Americas,North America,Caribbean,0,54821,0.778,KNA
Saint Lucia,Americas,North America,Caribbean,0,178015,0.747,LCA
Saint Vincent and the Grenadines,Americas,North America,Caribbean,0,109643,0.723,VCT
Trinidad and Tobago,Americas,North America,Caribbean,0,1364962,0.784,TTO
Turks and Caicos Islands,Americas,North America,Caribbean,0,34900,0.873,TCA
Burundi,Africa,Africa,Eastern Africa,0,10524117,0.417,BDI
Comoros,Africa,Africa,Eastern Africa,0,795601,0.503,COM
Djibouti,Africa,Africa,Eastern Africa,0,942333,0.476,DJI
Eritrea,Africa,Africa,Eastern Africa,0,4954645,0.44,ERI
Ethiopia,Africa,Africa,Eastern Africa,0,102403196,0.463,ETH
Kenya,Africa,Africa,Eastern Africa,0,48461567,0.59,KEN
Madagascar,Africa,Africa,Eastern Africa,0,24894551,0.519,MDG
Malawi,Africa,Africa,Eastern Africa,0,18091575,0.477,MWI
Mauritius,Africa,Africa,Eastern Africa,0,1263473,0.79,MUS
Mozambique,Africa,Africa,Eastern Africa,0,28829476,0.437,MOZ
Rwanda,Africa,Africa,Eastern Africa,0,11917508,0.524,RWA
Seychelles,Africa,Africa,Eastern Africa,0,94677,0.797,SYC
Somalia,Africa,Africa,Eastern Africa,0,14317996,0.364,SOM
South Sudan,Africa,Africa,Eastern Africa,0,12230730,0.388,SSD
Tanzania,Africa,Africa,Eastern Africa,0,55572201,0.538,TZA
Uganda,Africa,Africa,Eastern Africa,0,41487965,0.516,UGA
Zambia,Africa,Africa,Eastern Africa,0,16591390,0.588,ZMB
Zimbabwe,Africa,Africa,Eastern Africa,0,16150362,0.535,ZWE
Angola,Africa,Africa,Middle Africa,0,28813463,0.581,AGO
Cameroon,Africa,Africa,Middle Africa,0,23439189,0.556,CMR
Central African Republic,Africa,Africa,Middle Africa,0,4594621,0.367,CAF
Chad,Africa,Africa,Middle Africa,0,14452543,0.404,TCD
Congo DR,Africa,Africa,Middle Africa,0,78736153,0.457,COD
Eq. Guinea,Africa,Africa,Middle Africa,0,1221490,0.591,GNQ
Gabon,Africa,Africa,Middle Africa,0,1979786,0.702,GAB
Congo Rep.,Africa,Africa,Middle Africa,0,5125821,0.606,COG
S. Tome & Principe,Africa,Africa,Middle Africa,0,199910,0.589,STP
Algeria,Africa,Africa,Northern Africa,0,40606052,0.754,DZA
Egypt,Africa,Africa,Northern Africa,0,95688681,0.696,EGY
Libya,Africa,Africa,Northern Africa,0,6293253,0.706,LBY
Morocco,Africa,Africa,Northern Africa,0,35276786,0.667,MAR
Sudan,Africa,Africa,Northern Africa,0,39578828,0.502,SDN
Tunisia,Africa,Africa,Northern Africa,0,11403248,0.735,TUN
Western Sahara,Africa,Africa,Northern Africa,0,538755,,ESH
Botswana,Africa,Africa,Southern Africa,0,2250260,0.717,BWA
Eswatini,Africa,Africa,Southern Africa,0,1343098,0.588,SWZ
Lesotho,Africa,Africa,Southern Africa,0,2203821,0.52,LSO
Namibia,Africa,Africa,Southern Africa,0,2479713,0.647,NAM
South Africa,Africa,Africa,Southern Africa,0,56015473,0.699,ZAF
Benin,Africa,Africa,Western Africa,0,10872298,0.515,BEN
Burkina Faso,Africa,Africa,Western Africa,0,18646433,0.423,BFA
Cabo Verde,Africa,Africa,Western Africa,0,539560,0.654,CPV
Cote d'Ivoire,Africa,Africa,Western Africa,0,23695919,0.492,CIV
Gambia,Africa,Africa,Western Africa,0,2038501,0.46,GMB
Ghana,Africa,Africa,Western Africa,0,28206728,0.592,GHA
Guinea,Africa,Africa,Western Africa,0,12395924,0.459,GIN
Guinea-Bissau,Africa,Africa,Western Africa,0,1815698,0.455,GNB
Liberia,Africa,Africa,Western Africa,0,4613823,0.435,LBR
Mali,Africa,Africa,Western Africa,0,17994837,0.427,MLI
Mauritania,Africa,Africa,Western Africa,0,4301018,0.52,MRT
Niger,Africa,Africa,Western Africa,0,20672987,0.354,NER
Nigeria,Africa,Africa,Western Africa,0,185989640,0.532,NGA
Senegal,Africa,Africa,Western Africa,0,15411614,0.505,SEN
Sierra Leone,Africa,Africa,Western Africa,0,7396190,0.419,SLE
Togo,Africa,Africa,Western Africa,0,7606374,0.503,TGO
Australia,Oceania,Oceania,Australasia,637,24210809,0.939,AUS
New Zealand,Oceania,Oceania,Australasia,0,4693200,0.917,NZL
Fiji,Oceania,Oceania,Melanesia,0,898760,0.741,FJI
New Caledonia,Oceania,Oceania,Melanesia,0,276550,0.789,NCL
Papua New Guinea,Oceania,Oceania,Melanesia,0,8084991,0.544,PNG
Solomon Islands,Oceania,Oceania,Melanesia,0,599419,0.546,SLB
Vanuatu,Oceania,Oceania,Melanesia,0,270402,0.603,VUT
F.S. of Micronesia,Oceania,Oceania,Micronesia,0,104937,0.627,FSM
Guam,Oceania,Oceania,Micronesia,0,162896,0.901,GUM
Kiribati,Oceania,Oceania,Micronesia,0,114395,0.612,KIR
Marshall Islands,Oceania,Oceania,Micronesia,0,53066,0.708,MHL
Nauru,Oceania,Oceania,Micronesia,0,13049,0.721,NRU
Northern Mariana Islands,Oceania,Oceania,Micronesia,0,55023,0.875,MNP
Palau,Oceania,Oceania,Micronesia,0,21503,0.798,PLW
American Samoa,Oceania,Oceania,Polynesia,0,55599,0.827,ASM
French Polynesia,Oceania,Oceania,Polynesia,0,280208,0.737,PYF
Samoa,Oceania,Oceania,Polynesia,0,195125,0.713,WSM
Tonga,Oceania,Oceania,Polynesia,0,107122,0.726,TON
Tuvalu,Oceania,Oceania,Polynesia,0,11097,0.711,TUV
Austria,Eurasia,Europe,Western Europe,1083,8736668,0.908,AUT
Belgium,Eurasia,Europe,Western Europe,137,11331422,0.916,BEL
France,Eurasia,Europe,Western Europe,1069,66859768,0.901,FRA
Germany,Eurasia,Europe,Western Europe,14854,82348669,0.936,DEU
Liechtenstein,Eurasia,Europe,Western Europe,0,37666,0.916,LIE
Luxembourg,Eurasia,Europe,Western Europe,0,582014,0.904,LUX
Monaco,Eurasia,Europe,Western Europe,0,38499,0.956,MCO
Netherlands,Eurasia,Europe,Western Europe,248,17030314,0.931,NLD
Switzerland,Eurasia,Europe,Western Europe,147,8373338,0.944,CHE
Albania,Eurasia,Europe,Southern Europe,0,2876101,0.785,ALB
Andorra,Eurasia,Europe,Southern Europe,0,77281,0.858,AND
Bosnia and Herzegovina,Eurasia,Europe,Southern Europe,0,3516816,0.768,BIH
Croatia,Eurasia,Europe,Southern Europe,0,4174349,0.831,HRV
Kosovo,Eurasia,Europe,Southern Europe,0,1816200,0.739,XKX
Gibraltar,Eurasia,Europe,Southern Europe,0,34408,0.961,GIB
Greece,Eurasia,Europe,Southern Europe,345,10775971,0.87,GRC
Italy,Eurasia,Europe,Southern Europe,464,60627498,0.88,ITA
Macedonia,Eurasia,Europe,Southern Europe,0,2081206,0.757,MKD
Malta,Eurasia,Europe,Southern Europe,0,455356,0.878,MLT
Montenegro,Eurasia,Europe,Southern Europe,0,622303,0.814,MNE
Portugal,Eurasia,Europe,Southern Europe,0,10325452,0.847,PRT
San Marino,Eurasia,Europe,Southern Europe,0,33203,0.961,SMR
Serbia,Eurasia,Europe,Southern Europe,0,7058322,0.787,SRB
Slovenia,Eurasia,Europe,Southern Europe,0,2065042,0.896,SVN
Spain,Eurasia,Europe,Southern Europe,67,46484062,0.891,ESP
Vatican City,Eurasia,Europe,Southern Europe,0,801,,VAT
Denmark,Eurasia,Europe,Northern Europe,100,5728010,0.929,DNK
Estonia,Eurasia,Europe,Northern Europe,0,1315790,0.871,EST
Faroe Islands,Eurasia,Europe,Northern Europe,0,49117,0.95,FRO
Finland,Eurasia,Europe,Northern Europe,0,5495303,0.92,FIN
Iceland,Eurasia,Europe,Northern Europe,1,335439,0.935,ISL
Ireland,Eurasia,Europe,Northern Europe,1,4755335,0.938,IRL
Isle of Man,Eurasia,Europe,Northern Europe,0,83737,0.95,IMN
Latvia,Eurasia,Europe,Northern Europe,0,1959537,0.847,LVA
Lithuania,Eurasia,Europe,Northern Europe,0,2868231,0.858,LTU
Norway,Eurasia,Europe,Northern Europe,71,5234519,0.953,NOR
Sweden,Eurasia,Europe,Northern Europe,457,9923085,0.933,SWE
UK,Eurasia,Europe,Northern Europe,465,65595565,0.922,GBR
Belarus,Eurasia,Europe,Eastern Europe,1,9501534,0.808,BLR
Bulgaria,Eurasia,Europe,Eastern Europe,55,7127822,0.813,BGR
Czech Republic,Eurasia,Europe,Eastern Europe,28,10566332,0.888,CZE
Hungary,Eurasia,Europe,Eastern Europe,35,9814023,0.838,HUN
Poland,Eurasia,Europe,Eastern Europe,0,37970087,0.865,POL
Moldova,Eurasia,Europe,Eastern Europe,0,3551954,0.7,MDA
Romania,Eurasia,Europe,Eastern Europe,10,19702332,0.811,ROU
Russia,Eurasia,Europe,Eastern Europe,79,144342396,0.816,RUS
Slovakia,Eurasia,Europe,Eastern Europe,6,5430798,0.855,SVK
Ukraine,Eurasia,Europe,Eastern Europe,0,45004645,0.751,UKR
Antarctica,Antarctica,Antarctica,Antarctica,0,1000,,ATA