Destination,Population,Total,Code,Austria,Belgium,Bulgaria,Croatia,Cypres,Czech Republic,Denmark,Estonia,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,UK
Austria,8956000,303181,AT,,36355,,1500,,32456,,7865,,,23678,65889,,36051,,32000,,1232,,66155,,,,,,,
Belgium,11590000,858609,BE,,,40687,,,,,,,170324,39714,,,,155696,,,,,159319,70671,48979,105358,,,67861,
Bulgaria,6878000,0,BG,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,3899000,87683,HR,,,,,,7862,,,,,2900,,,,20521,,,,,,,,,,,,56400
Cypres,1244000,0,CY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,10510000,76417,CZ,,,14183,,,,,,,,20478,,7575,,5482,,,,,,20567,,,,,,8132
Denmark,5857000,125418,DK,1789,2354,,234,456,221,,,21567,34983,,657,,,,,,,46917,,,,,,,16240,
Estonia,1331000,322237,EE,248659,43567,21345,,,,,,6130,,2536,,,,,,,,,,,,,,,,
France,67750000,1148903,FR,,,,,,,,,,,,,,,288311,,,,,,,613592,,,,247000,
Germany,83200000,4759000,DE,187000,,411000,435000,,63000,,,,,,363000,213000,,647000,41000,58000,,,300000,871000,300000,845000,62000,,189000,85000
Greece,10640000,110204,GR,,,35104,,17500,,,,,1200,,,2500,,6000,,,,,,12900,,22000,,,,13000
Hungary,9710000,53000,HU,,,,,,,,,,,20000,,,,,,,,,,,,17000,16000,,,
Ireland,5033000,957058,IE,1478,3468,246800,24000,21900,324000,3200,24000,,11600,11500,,,,11700,20000,37000,,,,63300,,29000,,,12112,112000
Italy,59110000,1694133,IT,,,50000,165000,,,,,,31300,158000,20015,,,,,,,,10100,78000,,1145718,,,33000,3000
Latvia,1884000,282925,LV,23890,17689,2678,2300,1100,28900,14800,15789,57890,,,46500,25489,,,,,,,,,,,,,,45900
Lithuania,2801000,2108989,LT,230000,153000,12980,13200,14300,23870,9807,234000,256000,78000,,112000,115000,5600,2457,,23000,234000,117000,76900,,119875,,,,,278000
Luxembourg,640064,272805,LU,,19000,,,,,,,,49104,13000,,,,25000,,,,,,5000,92101,60600,,,9000,
Malta,518536,1695,MT,,,,,,,,,,,745,,,,950,,,,,,,,,,,,
Netherlands,17530000,88697,NL,,4071,,1235,,,,,,5096,10780,4781,3136,,7246,1821,1843,,,,25096,3406,11071,1884,,7231,
Poland,37750000,27200,PL,,,,,,,,,,,21200,,,,,,,,,,,,,,,6000,
Portugal,10330000,178000,PT,,5000,7000,,,,,,,28000,16000,,,,34000,,,,,10000,,,24000,,,17000,37000
Romania,19120000,3091170,RO,37000,46800,12000,17658,25760,13245,7659,24879,356890,1400000,,,,,,,,,,,,,,,1149279,,
Slovakia,5447000,343110,SK,12900,14500,2380,1780,16700,18900,2300,13900,38900,2356,1780,25900,14577,1980,,,348,879,17870,5600,1900,,,,,48900,98760
Slovenia,2108000,301465,SI,130000,98000,13000,8790,5435,43900,2340,,,,,,,,,,,,,,,,,,,,
Spain,47420000,1954613,ES,,43227,117056,,,,,,,128500,143079,,,20317,298817,,,,,55009,65727,107326,632859,,,26167,316529
Sweden,10420000,398928,SE,,,,,,,38070,,133083,,55000,,,,,,,,,1648,98387,,35565,,4600,,32575
United Kingdom,67330000,2032442,UK,2378,458,,6578,1134,,987,1789,2786,130000,10987,,2345,,,412000,280000,,,696000,,682000,170000,329000,,