Country,Year,Migrants
Austria,1983,1083
Austria,1984,1057
Austria,1985,1308
Austria,1986,2227
Austria,1987,1970
Austria,1988,1100
Austria,1989,533
Austria,1990,357
Austria,1991,315
Austria,1992,252
Austria,1993,323
Austria,1994,441
Austria,1995,620
Austria,1996,531
Austria,1997,631
Austria,1998,761
Austria,1999,581
Austria,2000,532
Austria,2001,640
Austria,2002,525
Austria,2003,355
Austria,2004,404
Austria,2005,308
Austria,2006,853
Austria,2007,785
Austria,2008,559
Austria,2009,386
Austria,2010,338
Austria,2011,473
Austria,2012,479
Austria,2013,772
Austria,2014,676
Austria,2015,
Austria,2016,481
Austria,2017,387
Austria,2018,359
Austria,2019,397
Austria,2020,553
Austria,2021,629
Belgium,1983,137
Belgium,1984,84
Belgium,1985,177
Belgium,1986,211
Belgium,1987,187
Belgium,1988,79
Belgium,1989,75
Belgium,1990,67
Belgium,1991,64
Belgium,1992,68
Belgium,1993,86
Belgium,1994,91
Belgium,1995,109
Belgium,1996,67
Belgium,1997,80
Belgium,1998,77
Belgium,1999,99
Belgium,2000,99
Belgium,2001,103
Belgium,2002,119
Belgium,2003,138
Belgium,2004,130
Belgium,2005,149
Belgium,2006,307
Belgium,2007,402
Belgium,2008,325
Belgium,2009,281
Belgium,2010,296
Belgium,2011,330
Belgium,2012,397
Belgium,2013,589
Belgium,2014,539
Belgium,2015,
Belgium,2016,200
Belgium,2017,251
Belgium,2018,187
Belgium,2019,224
Belgium,2020,226
Belgium,2021,323
Bulgaria,1983,55
Bulgaria,1984,61
Bulgaria,1985,51
Bulgaria,1986,38
Bulgaria,1987,28
Bulgaria,1988,30
Bulgaria,1989,16
Bulgaria,1990,8
Bulgaria,1991,11
Bulgaria,1992,11
Bulgaria,1993,15
Bulgaria,1994,11
Bulgaria,1995,9
Bulgaria,1996,9
Bulgaria,1997,6
Bulgaria,1998,21
Bulgaria,1999,9
Bulgaria,2000,9
Bulgaria,2001,5
Bulgaria,2002,12
Bulgaria,2003,0
Bulgaria,2004,4
Bulgaria,2005,26
Bulgaria,2006,8
Bulgaria,2007,17
Bulgaria,2008,13
Bulgaria,2009,7
Bulgaria,2010,5
Bulgaria,2011,7
Bulgaria,2012,4
Bulgaria,2013,13
Bulgaria,2014,7
Bulgaria,2015,
Bulgaria,2016,2
Bulgaria,2017,11
Bulgaria,2018,6
Bulgaria,2019,7
Bulgaria,2020,4
Bulgaria,2021,14
Chechia,1983,
Chechia,1984,
Chechia,1985,
Chechia,1986,
Chechia,1987,
Chechia,1988,
Chechia,1989,
Chechia,1990,
Chechia,1991,
Chechia,1992,
Chechia,1993,28
Chechia,1994,53
Chechia,1995,89
Chechia,1996,55
Chechia,1997,47
Chechia,1998,43
Chechia,1999,50
Chechia,2000,59
Chechia,2001,57
Chechia,2002,38
Chechia,2003,46
Chechia,2004,41
Chechia,2005,49
Chechia,2006,90
Chechia,2007,116
Chechia,2008,123
Chechia,2009,44
Chechia,2010,66
Chechia,2011,79
Chechia,2012,62
Chechia,2013,131
Chechia,2014,84
Chechia,2015,
Chechia,2016,45
Chechia,2017,42
Chechia,2018,47
Chechia,2019,30
Chechia,2020,33
Chechia,2021,65
Denmark,1983,100
Denmark,1984,132
Denmark,1985,280
Denmark,1986,444
Denmark,1987,427
Denmark,1988,244
Denmark,1989,99
Denmark,1990,73
Denmark,1991,97
Denmark,1992,84
Denmark,1993,92
Denmark,1994,102
Denmark,1995,92
Denmark,1996,111
Denmark,1997,86
Denmark,1998,89
Denmark,1999,99
Denmark,2000,90
Denmark,2001,100
Denmark,2002,95
Denmark,2003,68
Denmark,2004,50
Denmark,2005,58
Denmark,2006,175
Denmark,2007,217
Denmark,2008,208
Denmark,2009,137
Denmark,2010,138
Denmark,2011,178
Denmark,2012,168
Denmark,2013,244
Denmark,2014,232
Denmark,2015,
Denmark,2016,125
Denmark,2017,130
Denmark,2018,134
Denmark,2019,130
Denmark,2020,179
Denmark,2021,223
France,1983,1069
France,1984,707
France,1985,1044
France,1986,1578
France,1987,1516
France,1988,924
France,1989,546
France,1990,398
France,1991,328
France,1992,265
France,1993,212
France,1994,309
France,1995,380
France,1996,255
France,1997,245
France,1998,266
France,1999,263
France,2000,309
France,2001,261
France,2002,339
France,2003,251
France,2004,300
France,2005,295
France,2006,579
France,2007,533
France,2008,564
France,2009,388
France,2010,339
France,2011,376
France,2012,433
France,2013,575
France,2014,483
France,2015,
France,2016,199
France,2017,209
France,2018,212
France,2019,174
France,2020,147
France,2021,227
Greece,1983,345
Greece,1984,187
Greece,1985,360
Greece,1986,710
Greece,1987,911
Greece,1988,562
Greece,1989,212
Greece,1990,142
Greece,1991,181
Greece,1992,100
Greece,1993,61
Greece,1994,85
Greece,1995,88
Greece,1996,52
Greece,1997,50
Greece,1998,43
Greece,1999,52
Greece,2000,49
Greece,2001,74
Greece,2002,75
Greece,2003,56
Greece,2004,75
Greece,2005,76
Greece,2006,155
Greece,2007,119
Greece,2008,174
Greece,2009,88
Greece,2010,91
Greece,2011,58
Greece,2012,68
Greece,2013,77
Greece,2014,72
Greece,2015,
Greece,2016,24
Greece,2017,26
Greece,2018,27
Greece,2019,39
Greece,2020,16
Greece,2021,22
Spain,1983,67
Spain,1984,44
Spain,1985,66
Spain,1986,102
Spain,1987,135
Spain,1988,84
Spain,1989,43
Spain,1990,14
Spain,1991,14
Spain,1992,34
Spain,1993,37
Spain,1994,53
Spain,1995,70
Spain,1996,47
Spain,1997,58
Spain,1998,53
Spain,1999,97
Spain,2000,111
Spain,2001,131
Spain,2002,166
Spain,2003,139
Spain,2004,201
Spain,2005,265
Spain,2006,625
Spain,2007,650
Spain,2008,514
Spain,2009,330
Spain,2010,272
Spain,2011,304
Spain,2012,251
Spain,2013,394
Spain,2014,349
Spain,2015,
Spain,2016,138
Spain,2017,175
Spain,2018,171
Spain,2019,169
Spain,2020,105
Spain,2021,157
Netherlands,1983,248
Netherlands,1984,158
Netherlands,1985,238
Netherlands,1986,335
Netherlands,1987,337
Netherlands,1988,216
Netherlands,1989,127
Netherlands,1990,103
Netherlands,1991,102
Netherlands,1992,155
Netherlands,1993,152
Netherlands,1994,189
Netherlands,1995,181
Netherlands,1996,190
Netherlands,1997,139
Netherlands,1998,166
Netherlands,1999,218
Netherlands,2000,239
Netherlands,2001,265
Netherlands,2002,290
Netherlands,2003,275
Netherlands,2004,363
Netherlands,2005,393
Netherlands,2006,925
Netherlands,2007,1098
Netherlands,2008,1004
Netherlands,2009,691
Netherlands,2010,680
Netherlands,2011,899
Netherlands,2012,982
Netherlands,2013,1440
Netherlands,2014,1356
Netherlands,2015,
Netherlands,2016,786
Netherlands,2017,758
Netherlands,2018,787
Netherlands,2019,770
Netherlands,2020,968
Netherlands,2021,1169
Ireland,1983,1
Ireland,1984,8
Ireland,1985,3
Ireland,1986,1
Ireland,1987,5
Ireland,1988,6
Ireland,1989,0
Ireland,1990,0
Ireland,1991,0
Ireland,1992,2
Ireland,1993,0
Ireland,1994,1
Ireland,1995,8
Ireland,1996,1
Ireland,1997,1
Ireland,1998,1
Ireland,1999,7
Ireland,2000,0
Ireland,2001,9
Ireland,2002,13
Ireland,2003,20
Ireland,2004,83
Ireland,2005,405
Ireland,2006,2307
Ireland,2007,2089
Ireland,2008,1422
Ireland,2009,570
Ireland,2010,565
Ireland,2011,712
Ireland,2012,820
Ireland,2013,1147
Ireland,2014,1196
Ireland,2015,
Ireland,2016,524
Ireland,2017,484
Ireland,2018,480
Ireland,2019,361
Ireland,2020,343
Ireland,2021,490
Latvia,1983,
Latvia,1984,
Latvia,1985,
Latvia,1986,
Latvia,1987,
Latvia,1988,
Latvia,1989,
Latvia,1990,
Latvia,1991,
Latvia,1992,0
Latvia,1993,7
Latvia,1994,7
Latvia,1995,14
Latvia,1996,12
Latvia,1997,9
Latvia,1998,4
Latvia,1999,4
Latvia,2000,9
Latvia,2001,4
Latvia,2002,4
Latvia,2003,7
Latvia,2004,3
Latvia,2005,5
Latvia,2006,8
Latvia,2007,11
Latvia,2008,9
Latvia,2009,3
Latvia,2010,9
Latvia,2011,2
Latvia,2012,7
Latvia,2013,13
Latvia,2014,8
Latvia,2015,
Latvia,2016,4
Latvia,2017,8
Latvia,2018,2
Latvia,2019,1
Latvia,2020,6
Latvia,2021,6
Germany,1983,15247
Germany,1984,8554
Germany,1985,9584
Germany,1986,13132
Germany,1987,19432
Germany,1988,24811
Germany,1989,18669
Germany,1990,11587
Germany,1991,14502
Germany,1992,12851
Germany,1993,15333
Germany,1994,18876
Germany,1995,18161
Germany,1996,14800
Germany,1997,14202
Germany,1998,16128
Germany,1999,15346
Germany,2000,20472
Germany,2001,16900
Germany,2002,17806
Germany,2003,15013
Germany,2004,12646
Germany,2005,12317
Germany,2006,14950
Germany,2007,13771
Germany,2008,11884
Germany,2009,7769
Germany,2010,6818
Germany,2011,7784
Germany,2012,8399
Germany,2013,12419
Germany,2014,10266
Germany,2015,0
Germany,2016,4437
Germany,2017,4514
Germany,2018,4370
Germany,2019,3846
Germany,2020,2588
Germany,2021,3722
Romania,1983,10
Romania,1984,9
Romania,1985,5
Romania,1986,5
Romania,1987,5
Romania,1988,3
Romania,1989,1
Romania,1990,0
Romania,1991,0
Romania,1992,3
Romania,1993,5
Romania,1994,0
Romania,1995,1
Romania,1996,0
Romania,1997,0
Romania,1998,3
Romania,1999,3
Romania,2000,1
Romania,2001,4
Romania,2002,2
Romania,2003,1
Romania,2004,1
Romania,2005,6
Romania,2006,1
Romania,2007,9
Romania,2008,2
Romania,2009,1
Romania,2010,6
Romania,2011,2
Romania,2012,4
Romania,2013,3
Romania,2014,3
Romania,2015,
Romania,2016,1
Romania,2017,1
Romania,2018,8
Romania,2019,1
Romania,2020,2
Romania,2021,4
Slovakia,1993,6
Slovakia,1994,6
Slovakia,1995,17
Slovakia,1996,18
Slovakia,1997,19
Slovakia,1998,6
Slovakia,1999,9
Slovakia,2000,10
Slovakia,2001,7
Slovakia,2002,11
Slovakia,2003,10
Slovakia,2004,1
Slovakia,2005,5
Slovakia,2006,17
Slovakia,2007,18
Slovakia,2008,45
Slovakia,2009,27
Slovakia,2010,21
Slovakia,2011,19
Slovakia,2012,26
Slovakia,2013,32
Slovakia,2014,21
Slovakia,2015,
Slovakia,2016,8
Slovakia,2017,13
Slovakia,2018,20
Slovakia,2019,6
Slovakia,2020,13
Slovakia,2021,10
Sweden,1983,891
Sweden,1984,728
Sweden,1985,928
Sweden,1986,1040
Sweden,1987,1072
Sweden,1988,795
Sweden,1989,530
Sweden,1990,479
Sweden,1991,460
Sweden,1992,283
Sweden,1993,280
Sweden,1994,518
Sweden,1995,570
Sweden,1996,364
Sweden,1997,288
Sweden,1998,250
Sweden,1999,251
Sweden,2000,249
Sweden,2001,167
Sweden,2002,174
Sweden,2003,117
Sweden,2004,174
Sweden,2005,268
Sweden,2006,595
Sweden,2007,487
Sweden,2008,475
Sweden,2009,398
Sweden,2010,400
Sweden,2011,347
Sweden,2012,345
Sweden,2013,597
Sweden,2014,557
Sweden,2015,
Sweden,2016,200
Sweden,2017,193
Sweden,2018,223
Sweden,2019,245
Sweden,2020,175
Sweden,2021,245
Hungary,1983,81
Hungary,1984,54
Hungary,1985,50
Hungary,1986,70
Hungary,1987,46
Hungary,1988,48
Hungary,1989,24
Hungary,1990,28
Hungary,1991,15
Hungary,1992,9
Hungary,1993,8
Hungary,1994,9
Hungary,1995,11
Hungary,1996,10
Hungary,1997,11
Hungary,1998,6
Hungary,1999,12
Hungary,2000,10
Hungary,2001,6
Hungary,2002,11
Hungary,2003,6
Hungary,2004,9
Hungary,2005,13
Hungary,2006,12
Hungary,2007,13
Hungary,2008,13
Hungary,2009,19
Hungary,2010,15
Hungary,2011,12
Hungary,2012,7
Hungary,2013,12
Hungary,2014,13
Hungary,2015,
Hungary,2016,4
Hungary,2017,7
Hungary,2018,11
Hungary,2019,13
Hungary,2020,7
Hungary,2021,8
UK,1983,465
UK,1984,307
UK,1985,397
UK,1986,604
UK,1987,518
UK,1988,288
UK,1989,200
UK,1990,87
UK,1991,122
UK,1992,79
UK,1993,95
UK,1994,137
UK,1995,154
UK,1996,133
UK,1997,121
UK,1998,166
UK,1999,170
UK,2000,189
UK,2001,208
UK,2002,254
UK,2003,282
UK,2004,543
UK,2005,3072
UK,2006,17996
UK,2007,9165
UK,2008,6565
UK,2009,3502
UK,2010,3472
UK,2011,4434
UK,2012,4900
UK,2013,7779
UK,2014,7392
UK,2015,
UK,2016,2946
UK,2017,2596
UK,2018,2719
UK,2019,2383
UK,2020,2102
UK,2021,2655
Italy,1983,464
Italy,1984,386
Italy,1985,1082
Italy,1986,2010
Italy,1987,2700
Italy,1988,1375
Italy,1989,351
Italy,1990,179
Italy,1991,223
Italy,1992,88
Italy,1993,141
Italy,1994,172
Italy,1995,199
Italy,1996,160
Italy,1997,155
Italy,1998,211
Italy,1999,223
Italy,2000,273
Italy,2001,307
Italy,2002,302
Italy,2003,311
Italy,2004,300
Italy,2005,413
Italy,2006,891
Italy,2007,813
Italy,2008,922
Italy,2009,549
Italy,2010,535
Italy,2011,515
Italy,2012,521
Italy,2013,705
Italy,2014,583
Italy,2015,
Italy,2016,258
Italy,2017,230
Italy,2018,269
Italy,2019,249
Italy,2020,122
Italy,2021,246