long,lat,city
21.0,52.2,Warsaw (Poland)
13.4,52.52,Berlin (Germany)
-0.13,51.5,London (UK)
12.49,41.9,Rome (Italy)
4.3,50.8,Brussels (Belgium)
2.3,48.8,Paris (France)
3.7,40.4,Madrid (Spain)
4.9,52.3,Amsterdam (Netherlands)
6.2,53.3,Dublin (Ireland)
19.0,47.5,Budapest (Hungary)
23.7,37.9,Athens (Greece)
16.4,48.2,Vienna (Austria)
42.7,23.3,Sofia (Budapest)
44.4,26.1, Bucharest (Romania)
25.3,54.7,Vilnius (Lithuania)
24.1,55.9,Riga (Latvia)
46.0,15.8,Zagreb (Creotia)
33.4,35.2,Nikosia (Cyprus)
14.4,50.1,Praque (Chechia)
24.7,59.4,Tallinn (Estonia)
6.13,49.81,Luxembourg
14.4,35.9,Malta
9.14,38.7,Lisbon (Portugal)
17.1,48.1,Bratislava (Slovakia)
14.5,46.5,Ljubljana (Slovenia)
18.1,59.3,Stockholm (Sweden)
12.6,55.7,Copenhagen (Denmark)
24.9,60,1,Helsinki (Finland)